players_id_in,players_id_out,manager_id,gameweek,type,result,transfer_id,player_name_in,photo_in,team_in,player_name_out,photo_out,team_out
189,64,Ali,5,f,a,8830907,Gray,172632,EVE,Lerma,152551,BOU
346,465,Yahya,5,f,a,8833951,Andreas,156689,FUL,Bowen,178186,WHU
134,259,Ruslan,5,f,a,8834214,Kanté,116594,CHE,Tielemans,166989,LEI
358,43,Yahya,5,f,a,8838057,Burn,78916,NEW,Cash,199796,AVL
342,504,Sami,5,f,a,8857423,Dalot,216051,MUN,Malacia,222690,MUN
235,8,Ruslan,5,f,a,8881578,Struijk,222694,LEE,Tierney,192895,ARS
344,469,Ali,5,f,a,8918574,Elanga,449434,MUN,Fornals,217593,WHU
603,142,Yahya,6,w,di,8969639,Paquetá,224024,WHU,Mount,184341,CHE
526,139,Yahya,6,w,a,8969640,Mee,51927,BRE,Chilwell,172850,CHE
319,227,Youssef,6,w,a,9210908,Álvarez,461358,MCI,Bamford,106617,LEE
465,480,Santi,6,w,a,9347356,Bowen,178186,WHU,Neves,171317,WOL
319,40,Sami,6,w,di,9771563,Álvarez,461358,MCI,Watkins,178301,AVL
603,407,Sami,6,w,a,9771564,Paquetá,224024,WHU,Ward-Prowse,101178,SOU
319,529,Ali,6,w,di,9794160,Álvarez,461358,MCI,Scamacca,195899,WHU
603,189,Ali,6,w,di,9794161,Paquetá,224024,WHU,Gray,172632,EVE
195,344,Ali,6,w,a,9794162,Gordon,232826,NEW,Elanga,449434,MUN
484,366,Ruslan,6,w,a,9970570,Kilman,214048,WOL,Schär,119471,NEW
111,134,Ruslan,6,w,a,9970571,Trossard,116216,ARS,Kanté,116594,CHE
516,366,Ruslan,6,w,do,9970572,Collins,432830,WOL,Schär,119471,NEW
46,305,Ruslan,6,w,a,9970573,Douglas Luiz,230046,AVL,Grealish,114283,MCI
195,305,Ruslan,6,w,di,9970574,Gordon,232826,NEW,Grealish,114283,MCI
195,134,Ruslan,6,w,di,9970575,Gordon,232826,NEW,Kanté,116594,CHE
586,366,Ruslan,6,w,do,9970576,Estupiñán,204214,BHA,Schär,119471,NEW
294,189,Ali,6,f,a,9998750,Elliott,444884,LIV,Gray,172632,EVE
408,529,Ali,6,f,a,10001711,A.Armstrong,155511,SOU,Scamacca,195899,WHU
586,520,Ali,6,f,a,10015927,Estupiñán,204214,BHA,Koulibaly,86129,CHE
73,129,Shrey,6,f,a,10026481,Kelly,235530,BOU,Alonso,82263,CHE
296,46,Ruslan,6,f,a,10028412,Carvalho,244858,LIV,Douglas Luiz,230046,AVL
436,430,Sami,6,f,a,10067048,R.Sessegnon,184349,TOT,Dier,93264,TOT
617,356,Shrey,7,w,a,10342647,Aubameyang,54694,CHE,Wilson,75115,NEW
609,3,Santi,7,w,a,10687304,Antony,467169,MUN,Xhaka,84450,ARS
617,279,Santi,7,w,di,10687305,Aubameyang,54694,CHE,Firmino,92217,LIV
516,108,Santi,7,w,a,10687306,Collins,432830,WOL,Webster,110735,BHA
609,233,Sami,7,w,di,11118900,Antony,467169,MUN,Harrison,221399,LEE
617,166,Sami,7,w,di,11118901,Aubameyang,54694,CHE,Edouard,199670,CRY
305,233,Sami,7,w,a,11118902,Grealish,114283,MCI,Harrison,221399,LEE
407,233,Sami,7,w,do,11118903,Ward-Prowse,101178,SOU,Harrison,221399,LEE
407,169,Sami,7,w,a,11118904,Ward-Prowse,101178,SOU,Eze,232413,CRY
366,436,Sami,7,w,di,11118905,Schär,119471,NEW,R.Sessegnon,184349,TOT
430,436,Sami,7,w,di,11118906,Dier,93264,TOT,R.Sessegnon,184349,TOT
394,166,Sami,7,w,di,11118907,Johnson,242898,NFO,Edouard,199670,CRY
609,296,Ruslan,7,w,di,11918306,Antony,467169,MUN,Carvalho,244858,LIV
617,458,Ruslan,7,w,di,11918307,Aubameyang,54694,CHE,Antonio,57531,WHU
430,235,Ruslan,7,w,a,11918308,Dier,93264,TOT,Struijk,222694,LEE
139,586,Ali,7,w,a,12405693,Chilwell,172850,CHE,Estupiñán,204214,BHA
519,294,Ali,7,w,a,12405694,Eriksen,80607,MUN,Elliott,444884,LIV
504,435,Ali,7,w,a,12405695,Malacia,222690,MUN,Sánchez,173904,TOT
617,30,Youssef,7,w,di,12477688,Aubameyang,54694,CHE,Ings,84939,WHU
609,130,Youssef,7,w,di,12477689,Antony,467169,MUN,Jorginho,85955,ARS
394,30,Youssef,7,w,a,12477690,Johnson,242898,NFO,Ings,84939,WHU
516,112,Youssef,7,w,di,12477691,Collins,432830,WOL,Cucurella,179268,CHE
366,432,Youssef,7,w,a,12477692,Schär,119471,NEW,Davies,115556,TOT
483,130,Youssef,7,w,a,12477693,Podence,200600,WOL,Jorginho,85955,ARS
66,30,Youssef,7,w,do,12477694,Solanke,154566,BOU,Ings,84939,WHU
110,408,Ali,7,f,a,12809204,Maupay,115382,EVE,A.Armstrong,155511,SOU
477,436,Sami,7,f,a,12809481,Jonny,114128,WOL,R.Sessegnon,184349,TOT
3,296,Ruslan,9,w,a,14145071,Xhaka,84450,ARS,Carvalho,244858,LIV
608,445,Ali,9,w,a,14544766,Akanji,211975,MCI,Emerson Royal,241157,TOT
199,139,Ali,9,w,a,14544767,Tarkowski,17761,EVE,Chilwell,172850,CHE
70,195,Ali,9,w,a,14544768,Billing,168991,BOU,Gordon,232826,NEW
259,519,Ali,9,w,a,14544769,Tielemans,166989,LEI,Eriksen,80607,MUN
39,533,Ali,9,w,a,14544770,Mings,149484,AVL,Martínez,221820,MUN
625,166,Sami,9,w,a,14638993,Diego Costa,18507,WOL,Edouard,199670,CRY
508,483,Youssef,9,w,a,14783159,Sinisterra,224995,LEE,Podence,200600,WOL
215,504,Ali,9,f,a,15074991,Tete,167074,FUL,Malacia,222690,MUN
369,508,Youssef,10,w,a,15544839,Almirón,179018,NEW,Sinisterra,224995,LEE
233,508,Youssef,10,w,do,15544840,Harrison,221399,LEE,Sinisterra,224995,LEE
369,508,Youssef,10,w,di,15544841,Almirón,179018,NEW,Sinisterra,224995,LEE
369,433,Ruslan,10,w,di,15586297,Almirón,179018,NEW,Højbjerg,132015,TOT
345,110,Ali,10,w,a,16072642,Martial,148225,MUN,Maupay,115382,EVE
519,70,Ali,10,w,a,16072643,Eriksen,80607,MUN,Billing,168991,BOU
588,199,Ali,10,w,a,16072644,Kehrer,201057,WHU,Tarkowski,17761,EVE
66,319,Youssef,11,w,a,16674995,Solanke,154566,BOU,Álvarez,461358,MCI
271,345,Ali,11,w,a,17142831,Daka,245419,LEI,Martial,148225,MUN
235,215,Ali,11,w,a,17142832,Struijk,222694,LEE,Tete,167074,FUL
199,588,Ali,11,w,a,17142833,Tarkowski,17761,EVE,Kehrer,201057,WHU
70,519,Ali,11,w,a,17142834,Billing,168991,BOU,Eriksen,80607,MUN
186,259,Ali,11,w,a,17142835,Iwobi,153133,EVE,Tielemans,166989,LEI
538,484,Ruslan,11,w,di,17544417,Young,18892,AVL,Kilman,214048,WOL
538,516,Santi,11,w,a,17606712,Young,18892,AVL,Collins,432830,WOL
258,106,Santi,11,f,a,17731049,Castagne,166477,LEI,Dunk,83299,BHA
345,625,Sami,12,w,a,18271138,Martial,148225,MUN,Diego Costa,18507,WOL
107,305,Sami,12,w,a,18271139,March,109345,BHA,Grealish,114283,MCI
133,182,Santi,12,w,a,18369240,Arrizabalaga,109745,CHE,Pickford,111234,EVE
141,127,Santi,12,w,a,18369241,Chalobah,180736,CHE,Azpilicueta,41328,CHE
133,398,Ali,12,w,di,18605156,Arrizabalaga,109745,CHE,Henderson,172649,NFO
139,235,Ali,12,w,a,18605157,Chilwell,172850,CHE,Struijk,222694,LEE
286,39,Ali,12,w,a,18605158,Gomez,171287,LIV,Mings,149484,AVL
141,608,Ali,12,w,di,18605159,Chalobah,180736,CHE,Akanji,211975,MCI
166,594,Ali,12,w,a,18605160,Edouard,199670,CRY,Isak,219168,NEW
167,199,Ali,12,w,a,18605161,Guéhi,209036,CRY,Tarkowski,17761,EVE
374,368,Ali,12,w,a,18605162,Bruno Guimarães,208706,NEW,Saint-Maximin,170137,NEW
106,608,Ali,12,f,a,18631038,Dunk,83299,BHA,Akanji,211975,MCI
574,398,Ali,12,f,a,18632806,Neto,69752,BOU,Henderson,172649,NFO
443,146,Ruslan,12,f,a,18678797,Romero,221632,TOT,James,225796,CHE
169,300,Youssef,13,w,di,18989793,Eze,232413,CRY,Gündogan,59859,MCI
85,299,Youssef,13,w,a,18989794,Henry,194010,BRE,Walker,58621,MCI
292,299,Youssef,13,w,do,18989795,Tsimikas,214285,LIV,Walker,58621,MCI
398,147,Youssef,13,w,a,18989796,Henderson,172649,NFO,Mendy,228286,CHE
480,300,Youssef,13,w,a,18989797,Neves,171317,WOL,Gündogan,59859,MCI
169,603,Sami,13,w,di,19162011,Eze,232413,CRY,Paquetá,224024,WHU
440,603,Sami,13,w,a,19162012,Bentancur,202993,TOT,Paquetá,224024,WHU
440,107,Sami,13,w,di,19162013,Bentancur,202993,TOT,March,109345,BHA
356,40,Sami,13,w,a,19162014,Wilson,75115,NEW,Watkins,178301,AVL
467,107,Sami,13,w,a,19162015,Rice,204480,WHU,March,109345,BHA
169,225,Ruslan,13,w,di,19172309,Eze,232413,CRY,Rodrigo,80954,LEE
169,277,Santi,13,w,a,19232265,Eze,232413,CRY,Thiago,61558,LIV
608,167,Ali,13,w,a,19373054,Akanji,211975,MCI,Guéhi,209036,CRY
127,139,Ali,13,w,a,19373055,Azpilicueta,41328,CHE,Chilwell,172850,CHE
332,106,Ali,13,w,a,19373056,Shaw,106760,MUN,Dunk,83299,BHA
254,574,Ali,13,f,a,19644429,Ward,95463,LEI,Neto,69752,BOU
417,73,Shrey,13,f,a,19661163,Perraud,244560,SOU,Kelly,235530,BOU
266,446,Sami,13,f,a,19669207,Dewsbury-Hall,215413,LEI,Kulusevski,445044,TOT
268,477,Sami,13,f,a,19670658,Justin,220627,LEI,Jonny,114128,WOL
194,329,Santi,14,w,a,20215758,Mykolenko,224967,EVE,Varane,90152,MUN
45,465,Ali,14,w,a,20340538,Bailey,215711,AVL,Bowen,178186,WHU
319,271,Ali,14,w,a,20340539,Álvarez,461358,MCI,Daka,245419,LEI
194,443,Ruslan,14,w,di,20510266,Mykolenko,224967,EVE,Romero,221632,TOT
533,484,Ruslan,14,w,a,20510267,Martínez,221820,MUN,Kilman,214048,WOL
259,225,Ruslan,14,w,a,20510268,Tielemans,166989,LEI,Rodrigo,80954,LEE
614,484,Ruslan,14,w,do,20510269,Faes,218218,LEI,Kilman,214048,WOL
300,407,Sami,14,w,a,20576467,Gündogan,59859,MCI,Ward-Prowse,101178,SOU
182,238,Sami,14,w,a,20576468,Pickford,111234,EVE,Meslier,437495,LEE
533,268,Sami,14,w,di,20576469,Martínez,221820,MUN,Justin,220627,LEI
205,467,Sami,14,w,a,20576470,De Cordova-Reid,96994,FUL,Rice,204480,WHU
464,467,Sami,14,w,do,20576471,Benrahma,172841,WHU,Rice,204480,WHU
614,443,Ruslan,14,f,a,20681803,Faes,218218,LEI,Romero,221632,TOT
40,345,Sami,14,f,a,20712689,Watkins,178301,AVL,Martial,148225,MUN
264,83,Dani,15,w,a,21230426,Barnes,201666,LEI,Dasilva,183656,BRE
23,70,Ali,15,w,a,21450343,Nelson,200641,ARS,Billing,168991,BOU
199,127,Ali,15,w,a,21450344,Tarkowski,17761,EVE,Azpilicueta,41328,CHE
225,45,Santi,15,w,a,21465551,Rodrigo,80954,LEE,Bailey,215711,AVL
345,103,Santi,15,w,a,21465552,Martial,148225,MUN,Welbeck,50175,BHA
368,315,Santi,15,w,di,21465553,Saint-Maximin,170137,NEW,Rodri,220566,MCI
432,538,Santi,15,w,a,21465554,Davies,115556,TOT,Young,18892,AVL
519,259,Ruslan,15,w,a,21536035,Eriksen,80607,MUN,Tielemans,166989,LEI
62,458,Ruslan,15,w,a,21536036,Moore,128340,BOU,Antonio,57531,WHU
368,205,Sami,15,w,di,21538109,Saint-Maximin,170137,NEW,De Cordova-Reid,96994,FUL
464,205,Sami,15,w,a,21538110,Benrahma,172841,WHU,De Cordova-Reid,96994,FUL
264,266,Sami,15,w,di,21538111,Barnes,201666,LEI,Dewsbury-Hall,215413,LEI
225,428,Shrey,15,w,di,21693468,Rodrigo,80954,LEE,Son,85971,TOT
368,428,Shrey,15,w,a,21693469,Saint-Maximin,170137,NEW,Son,85971,TOT
6,303,Shrey,15,w,a,21693470,Partey,167199,ARS,Mahrez,103025,MCI
264,303,Shrey,15,w,di,21693471,Barnes,201666,LEI,Mahrez,103025,MCI
467,340,Yahya,15,f,a,21872474,Rice,204480,WHU,Sancho,209243,MUN
259,88,Dani,16,w,a,22068244,Tielemans,166989,LEI,Jensen,207283,BRE
446,315,Santi,16,w,a,22200221,Kulusevski,445044,TOT,Rodri,220566,MCI
594,326,Santi,16,w,di,22200222,Isak,219168,NEW,Ronaldo,14937,MUN
299,285,Santi,16,w,a,22200223,Walker,58621,MCI,Alexander-Arnold,169187,LIV
594,62,Ruslan,16,w,a,22326064,Isak,219168,NEW,Moore,128340,BOU
146,614,Ruslan,16,w,a,22326065,James,225796,CHE,Faes,218218,LEI
428,519,Ruslan,16,w,di,22326066,Son,85971,TOT,Eriksen,80607,MUN
603,593,Ruslan,16,w,a,22326067,Paquetá,224024,WHU,Casemiro,61256,MUN
299,614,Ruslan,16,w,di,22326068,Walker,58621,MCI,Faes,218218,LEI
12,519,Ruslan,16,w,a,22326069,Smith Rowe,209289,ARS,Eriksen,80607,MUN
428,440,Sami,16,w,a,22646867,Son,85971,TOT,Bentancur,202993,TOT
446,440,Sami,16,w,di,22646868,Kulusevski,445044,TOT,Bentancur,202993,TOT
146,268,Sami,16,w,di,22646869,James,225796,CHE,Justin,220627,LEI
259,266,Sami,16,w,di,22646870,Tielemans,166989,LEI,Dewsbury-Hall,215413,LEI
240,23,Ali,16,w,a,22700118,Summerville,450070,LEE,Nelson,200641,ARS
33,286,Ali,16,w,a,22700119,Digne,101188,AVL,Gomez,171287,LIV
586,268,Sami,16,f,a,22851699,Estupiñán,204214,BHA,Justin,220627,LEI
45,374,Ali,16,f,a,22858508,Bailey,215711,AVL,Bruno Guimarães,208706,NEW
271,394,Youssef,16,f,a,22859824,Daka,245419,LEI,Johnson,242898,NFO
257,112,Youssef,17,w,a,23009402,Amartey,155569,LEI,Cucurella,179268,CHE
329,85,Youssef,17,w,di,23009403,Varane,90152,MUN,Henry,194010,BRE
373,169,Santi,17,w,a,23497721,Willock,200089,NEW,Eze,232413,CRY
329,194,Santi,17,w,a,23497722,Varane,90152,MUN,Mykolenko,224967,EVE
394,326,Santi,17,w,a,23497723,Johnson,242898,NFO,Ronaldo,14937,MUN
458,326,Santi,17,w,do,23497724,Antonio,57531,WHU,Ronaldo,14937,MUN
303,300,Sami,17,w,a,23888228,Mahrez,103025,MCI,Gündogan,59859,MCI
373,300,Sami,17,w,di,23888229,Willock,200089,NEW,Gündogan,59859,MCI
11,40,Sami,17,w,a,23888230,Nketiah,205533,ARS,Watkins,178301,AVL
285,586,Sami,17,w,a,23888231,Alexander-Arnold,169187,LIV,Estupiñán,204214,BHA
40,271,Youssef,18,w,di,24314340,Watkins,178301,AVL,Daka,245419,LEI
40,394,Santi,18,w,a,24325370,Watkins,178301,AVL,Johnson,242898,NFO
374,266,Sami,18,w,a,24777680,Bruno Guimarães,208706,NEW,Dewsbury-Hall,215413,LEI
371,266,Sami,18,w,di,24777681,Joelinton,180974,NEW,Dewsbury-Hall,215413,LEI
205,266,Sami,18,w,do,24777682,De Cordova-Reid,96994,FUL,Dewsbury-Hall,215413,LEI
2,182,Sami,18,w,a,24777683,Leno,80201,FUL,Pickford,111234,EVE
371,186,Ali,18,w,a,24853230,Joelinton,180974,NEW,Iwobi,153133,EVE
374,186,Ali,18,w,di,24853231,Bruno Guimarães,208706,NEW,Iwobi,153133,EVE
440,45,Ali,18,w,a,24853232,Bentancur,202993,TOT,Bailey,215711,AVL
40,166,Ali,18,w,di,24853233,Watkins,178301,AVL,Edouard,199670,CRY
520,33,Ali,18,w,a,24853234,Koulibaly,86129,CHE,Digne,101188,AVL
235,199,Ali,18,w,a,24853235,Struijk,222694,LEE,Tarkowski,17761,EVE
238,254,Ali,18,f,a,24861802,Meslier,437495,LEE,Ward,95463,LEI
169,467,Yahya,18,f,a,24878099,Eze,232413,CRY,Rice,204480,WHU
341,257,Youssef,19,w,a,24996575,Wan-Bissaka,214590,MUN,Amartey,155569,LEI
107,293,Youssef,19,w,a,24996576,March,109345,BHA,Luis Díaz,244731,LIV
201,257,Youssef,19,w,do,24996577,Ream,82514,FUL,Amartey,155569,LEI
519,293,Youssef,19,w,do,24996578,Eriksen,80607,MUN,Luis Díaz,244731,LIV
46,440,Ali,19,w,a,25242245,Douglas Luiz,230046,AVL,Bentancur,202993,TOT
124,371,Ali,19,w,a,25242246,Mitoma,451340,BHA,Joelinton,180974,NEW
341,520,Ali,19,w,di,25242247,Wan-Bissaka,214590,MUN,Koulibaly,86129,CHE
619,166,Ali,19,w,a,25242248,Gnonto,492859,LEE,Edouard,199670,CRY
205,303,Sami,19,w,a,25286819,De Cordova-Reid,96994,FUL,Mahrez,103025,MCI
504,520,Ali,19,f,a,25291505,Malacia,222690,MUN,Koulibaly,86129,CHE
112,146,Ruslan,19,f,a,25328624,Cucurella,179268,CHE,James,225796,CHE
303,368,Shrey,20,w,a,25918607,Mahrez,103025,MCI,Saint-Maximin,170137,NEW
680,368,Shrey,20,w,di,25918608,Gakpo,243298,LIV,Saint-Maximin,170137,NEW
519,6,Shrey,20,w,di,25918609,Eriksen,80607,MUN,Partey,167199,ARS
79,6,Shrey,20,w,di,25918610,Nørgaard,128295,BRE,Partey,167199,ARS
201,367,Shrey,20,w,a,25918611,Ream,82514,FUL,Targett,169359,NEW
680,480,Youssef,20,w,di,26351603,Gakpo,243298,LIV,Neves,171317,WOL
303,480,Youssef,20,w,di,26351604,Mahrez,103025,MCI,Neves,171317,WOL
519,480,Youssef,20,w,a,26351605,Eriksen,80607,MUN,Neves,171317,WOL
201,85,Youssef,20,w,di,26351606,Ream,82514,FUL,Henry,194010,BRE
680,259,Dani,20,w,di,26559136,Gakpo,243298,LIV,Tielemans,166989,LEI
70,160,Dani,20,w,a,26559137,Billing,168991,BOU,Zaha,82403,CRY
303,116,Dani,20,w,di,26559138,Mahrez,103025,MCI,Mac Allister,243016,BHA
680,446,Santi,20,w,a,26744228,Gakpo,243298,LIV,Kulusevski,445044,TOT
303,373,Santi,20,w,di,26744229,Mahrez,103025,MCI,Willock,200089,NEW
340,446,Santi,20,w,do,26744230,Sancho,209243,MUN,Kulusevski,445044,TOT
340,373,Santi,20,w,a,26744231,Sancho,209243,MUN,Willock,200089,NEW
598,40,Santi,20,w,a,26744232,Ferguson,487117,BHA,Watkins,178301,AVL
407,446,Santi,20,w,di,26744233,Ward-Prowse,101178,SOU,Kulusevski,445044,TOT
407,373,Santi,20,w,di,26744234,Ward-Prowse,101178,SOU,Willock,200089,NEW
628,432,Santi,20,w,di,26744235,Aurier,80226,NFO,Davies,115556,TOT
474,432,Santi,20,w,a,26744236,Boly,90585,NFO,Davies,115556,TOT
558,432,Santi,20,w,do,26744237,Bueno,490721,WOL,Davies,115556,TOT
474,258,Santi,20,w,di,26744238,Boly,90585,NFO,Castagne,166477,LEI
558,258,Santi,20,w,a,26744239,Bueno,490721,WOL,Castagne,166477,LEI
79,446,Santi,20,w,di,26744240,Nørgaard,128295,BRE,Kulusevski,445044,TOT
201,141,Santi,20,w,di,26744241,Ream,82514,FUL,Chalobah,180736,CHE
303,205,Sami,20,w,di,27242884,Mahrez,103025,MCI,De Cordova-Reid,96994,FUL
79,205,Sami,20,w,a,27242885,Nørgaard,128295,BRE,De Cordova-Reid,96994,FUL
519,205,Sami,20,w,di,27242886,Eriksen,80607,MUN,De Cordova-Reid,96994,FUL
305,205,Sami,20,w,do,27242887,Grealish,114283,MCI,De Cordova-Reid,96994,FUL
89,205,Sami,20,w,do,27242888,Wissa,216646,BRE,De Cordova-Reid,96994,FUL
680,12,Ruslan,20,w,di,27594259,Gakpo,243298,LIV,Smith Rowe,209289,ARS
407,12,Ruslan,20,w,a,27594260,Ward-Prowse,101178,SOU,Smith Rowe,209289,ARS
483,240,Ali,20,w,a,27661901,Podence,200600,WOL,Summerville,450070,LEE
628,504,Ali,20,w,a,27661902,Aurier,80226,NFO,Malacia,222690,MUN
215,235,Ali,20,w,a,27661903,Tete,167074,FUL,Struijk,222694,LEE
305,311,Ali,20,f,a,27675092,Grealish,114283,MCI,Bernardo,165809,MCI
520,141,Santi,20,f,a,27698483,Koulibaly,86129,CHE,Chalobah,180736,CHE
613,340,Santi,20,f,a,27704386,Willian,47431,FUL,Sancho,209243,MUN
429,215,Ali,20,f,a,27718906,Doherty,87835,TOT,Tete,167074,FUL
30,617,Shrey,21,w,a,28424091,Ings,84939,WHU,Aubameyang,54694,CHE
690,279,Santi,21,w,a,29137521,João Félix,428399,CHE,Firmino,92217,LIV
92,474,Santi,21,w,di,29137522,Pinnock,231065,BRE,Boly,90585,NFO
394,271,Youssef,21,w,a,29201403,Johnson,242898,NFO,Daka,245419,LEI
258,85,Youssef,21,w,a,29201404,Castagne,166477,LEI,Henry,194010,BRE
45,46,Ali,21,w,a,29442654,Bailey,215711,AVL,Douglas Luiz,230046,AVL
92,429,Ali,21,w,di,29442655,Pinnock,231065,BRE,Doherty,87835,TOT
92,112,Ruslan,21,w,a,29850445,Pinnock,231065,BRE,Cucurella,179268,CHE
593,603,Ruslan,21,w,a,29850446,Casemiro,61256,MUN,Paquetá,224024,WHU
493,464,Sami,21,w,a,29858457,Gibbs-White,222531,NFO,Benrahma,172841,WHU
311,464,Sami,21,w,do,29858458,Bernardo,165809,MCI,Benrahma,172841,WHU
189,464,Sami,21,w,do,29858459,Gray,172632,EVE,Benrahma,172841,WHU
371,374,Sami,21,w,a,29858460,Joelinton,180974,NEW,Bruno Guimarães,208706,NEW
373,374,Sami,21,w,do,29858461,Willock,200089,NEW,Bruno Guimarães,208706,NEW
189,374,Sami,21,w,do,29858462,Gray,172632,EVE,Bruno Guimarães,208706,NEW
446,428,Sami,21,w,a,29858463,Kulusevski,445044,TOT,Son,85971,TOT
146,533,Sami,21,w,a,29858464,James,225796,CHE,Martínez,221820,MUN
569,429,Ali,21,f,a,30203420,Lewis,477064,MCI,Doherty,87835,TOT
699,371,Sami,21,f,a,30272822,Mudryk,465920,CHE,Joelinton,180974,NEW
428,6,Shrey,22,w,a,31194528,Son,85971,TOT,Partey,167199,ARS
40,454,Shrey,22,w,di,31194529,Watkins,178301,AVL,Richarlison,212319,TOT
432,276,Shrey,22,w,a,31194530,Davies,115556,TOT,Matip,60914,LIV
40,345,Santi,22,w,a,31615612,Watkins,178301,AVL,Martial,148225,MUN
428,433,Santi,22,w,di,31615613,Son,85971,TOT,Højbjerg,132015,TOT
141,520,Santi,22,w,a,31615614,Chalobah,180736,CHE,Koulibaly,86129,CHE
85,558,Santi,22,w,a,31615615,Henry,194010,BRE,Bueno,490721,WOL
586,299,Santi,22,w,di,31615616,Estupiñán,204214,BHA,Walker,58621,MCI
428,519,Youssef,22,w,di,31639732,Son,85971,TOT,Eriksen,80607,MUN
465,519,Youssef,22,w,a,31639733,Bowen,178186,WHU,Eriksen,80607,MUN
160,519,Youssef,22,w,do,31639734,Zaha,82403,CRY,Eriksen,80607,MUN
